【Day3】Ensemble Stars!! Cast Live Starry Symphony -Superbloom-セットリスト,
あんさんぶるスターズ,
https://image.music.rakuten.net/f/0/f05e/86db/d962/ba53/21cd/0dc3/dd4a/240b.s2.jpg,
https://image.music.rakuten.net/b/1/b155/134c/11a4/2c02/bfb4/969b/7195/58dd.s2.jpg,
https://image.music.rakuten.net/1/0/106a/f1d1/f089/fcca/e552/99fc/a800/e7ad.s2.jpg,
https://image.music.rakuten.net/f/d/fd07/1007/76da/319f/a2fa/0a23/474a/dfd1.s2.jpg,
ONLY YOUR STARS! (Trickstar Ver.) ,Trickstar 
Love Ra*bits Party!! ,Ra*bits 
ベリイ・ベリイ・スイート・ホワイト♡ ,Special for Princess! 
Castle of my Heart ,Knights 
今宵月の館にて ,Valkyrie 
BRIGHTEST STARS!! (ESオールスターズ ver.) ,ESオールスターズ 
Be My Princess♡ ,Special for Princess! 
しょーがいゼッタイそーあい宣言♥ ,Special for Princess! 
Knights the Phantom Thief ,Knights 
Fight for Judge ,Knights 
凱旋歌 ,Valkyrie 
Last Lament ,Valkyrie 
に～ちゃん応援団☆ ,仁兎 なずな(CV.米内 佑希) 
ボクスケッチ ,紫之 創(CV.高坂 知也) 
Centre of the theatre ,真白 友也(CV.比留間 俊哉) 
スタート♪ダッシュダッシュ! ,天満 光(CV.小林 大紀) 
RaRaRa*Station! ,Ra*bits 
Finder Girl ,Trickstar 
Infinite Star ,Trickstar 
スキスキハンター♡ ,Special for Princess! 
Heart Collector ,Knights 
JUMPIN' LUCK BEAT ,Ra*bits 
Le temps des fleurs ,Valkyrie 
堕天使たちの晩餐会 ,Ha/Lo 
FALLIN’ LOVE=IT’S WONDERLAND ,Ra*bits 
メランコリーを駆け抜けろ♥ ,Special for Princess! 
星の鳴動響きし時に ,Valkyrie 
Article of Faith ,Knights 
CELEBRATE!! ,Trickstar 
Rebellion Star (ALBUM Mix) ,Trickstar 
Walk with your smile ,あんさんぶるスターズ!! 
BRAND NEW STARS!! ,あんさんぶるスターズ!! 
